% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 22:09
% Table:              Table 6 - 
% r_ring (um)                                     Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)
19.8                                              470.3344316583262+2.1480894702203472i             470.3344316583262                                 109.4773840146612
19.8                                              470.3594779411289+1.38416861035257i               470.3594779411289                                 169.90685759783292
19.8                                              471.16672210679326+1.6374648515745704i            471.16672210679326                                143.87078954816155
19.85                                             469.24054379244825+1.3647706626549492i            469.24054379244825                                171.9118664522044
19.85                                             470.06013578130444+1.620203842884276i             470.06013578130444                                145.06203581905672
19.85                                             471.6217266009526+1.422531807516793i              471.6217266009526                                 165.76842925720842
19.900000000000002                                470.49148807316817+1.3873876934836122i            470.49148807316817                                169.56020666862202
19.900000000000002                                470.66014062726754+2.147250547200829i             470.66014062726754                                109.5959996938465
19.900000000000002                                471.3827258953341+1.6440590298328794i             471.3827258953341                                 143.35942850642374
19.949999999999996                                469.3764466109425+1.3665741690206954i             469.3764466109425                                 171.7347134357529
19.949999999999996                                470.2894001155682+1.6444065870090516i             470.2894001155682                                 142.99669066972044
19.949999999999996                                471.90675863670504+1.4185932605857714i            471.90675863670504                                166.32912750545682
20                                                470.73918256311555+2.1258603742947413i            470.73918256311555                                110.71733314547629
20                                                470.7777670282215+1.3808492445341634i             470.7777670282215                                 170.4667504044009
20                                                471.5781422665616+1.635640564487405i              471.5781422665616                                 144.15702095721437
