% Model:              Main1-recovery2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 14 2025, 03:20
% Table:              Table 9 - Global Evaluation 6
% r_ring (um)                                     Eigenfrequency (THz)                              Quality factor (1)
19.4                                              470.32098683328485+1.6437700325168922i            143.06167454371436
19.41                                             470.0962536303333+1.6413380777590756i             143.20518727992874
19.419999999999998                                471.4776600250688+1.4458710802709887i             163.04277278189397
19.43                                             471.2457282731554+1.4376404150709812i             163.89554833497374
19.439999999999998                                471.0144994631932+1.4296065308039778i             164.7357119998275
19.45                                             470.78433128404794+1.4229512001839582i            165.4253256271843
19.459999999999997                                470.55541784152314+1.4160038918086506i            166.15611742439717
19.47                                             470.3261195087297+1.4108264020183257i             166.6846179075902
19.479999999999997                                470.0975662784353+1.4061012054093212i             167.16348882639218
19.49                                             469.86911291115223+1.4015322762450801i            167.62693263476018
19.5                                              470.5509679498333+1.6633632711445943i             141.44564092305512
19.509999999999998                                470.32842160766387+1.6632636890725652i            141.38720898486
19.52                                             470.10679957444836+1.6656101030404356i            141.121502179984
19.529999999999998                                471.5355664092737+1.4332701509889272i             164.49640219044673
19.54                                             471.30515995189165+1.4248235137468765i            165.3907152025076
19.549999999999997                                471.0742886874273+1.4174953007734885i             166.16432111992714
19.56                                             470.84584415736964+1.4102030967128132i            166.94256495922906
19.57                                             470.6164214002306+1.404022521699362i              167.59575224997775
19.58                                             470.38880475598586+1.3984220982230637i            168.1855590503382
19.59                                             470.16152570946286+1.3929080372764517i            168.76976552908982
19.599999999999994                                469.9344640198789+1.3890891839782875i             169.15201321847752
19.609999999999996                                470.5237249922694+1.6364477191328428i             143.76375104778813
19.619999999999994                                470.3005052759235+1.6326850988312929i             144.02670349982785
19.629999999999995                                470.07857896067105+1.630454665660271i             144.15567291173576
19.639999999999993                                471.4356789401053+1.4303583558861852i             164.79635225678294
19.649999999999995                                471.206438565223+1.421942553889251i               165.69109535276036
19.659999999999997                                470.97861548338807+1.4147879958945733i            166.4484773867435
19.669999999999995                                470.7501247612449+1.4080522958767587i             167.16357983995212
19.679999999999996                                470.52287962553686+1.4018090250389534i            167.8270260859756
19.689999999999998                                470.29624953176517+1.3962460756780104i            168.41452868663987
19.7                                              470.07000514787444+1.3917292068399496i            168.8798377003282
19.709999999999997                                469.844953428921+1.3872501039171636i              169.34399647987942
19.72                                             470.5289507659427+1.652992681901863i              142.3263865344437
19.729999999999997                                470.30859501976823+1.6541551567622998i            142.1597584413755
19.74                                             470.0894314522393+1.6548946940956553i             142.03001348950713
19.75                                             471.4937059576846+1.417073072922829i              166.3618182318539
19.759999999999998                                471.2657923863816+1.4098172720982431i             167.1371892348122
19.77                                             471.0388936128938+1.4023422088553796i             167.9471995631385
19.779999999999998                                470.8119223648955+1.395473521654256i              168.69253162423826
19.79                                             470.58555499700896+1.389367350009381i             169.35245923039412
19.799999999999997                                470.3596446892307+1.3839413627559414i             169.93481709101098
19.81                                             470.1344345336702+1.3782844142297412i             170.55058799181384
19.82                                             469.91065143478966+1.3744612890717975i            170.94357446477454
19.83                                             470.50162982946745+1.6253569753422095i            144.7379366401667
19.84                                             470.2801877695763+1.6228902446482654i             144.88970813657883
19.849999999999998                                470.06008364830655+1.6201336542448317i            145.06830421574338
19.86                                             471.3941995193243+1.4143644525088472i             166.64523725944522
19.869999999999997                                471.1678817332062+1.4065314249958139i             167.49283853882199
19.88                                             470.9423053308184+1.399717667393904i              168.22760628850705
19.889999999999997                                470.7164504915477+1.3934716002597187i             168.90062574788547
19.9                                              470.4916558405939+1.3870180978440179i             169.6054494789674
19.91                                             470.26725874630654+1.3815830753970797i            170.19145179204926
19.919999999999995                                470.04386398500367+1.3773365286818284i            170.63508234797794
19.929999999999996                                469.8204867975561+1.373670085848025i              171.0092152540091
19.939999999999994                                470.5067538623716+1.643456040337987i              143.1455245269624
19.949999999999996                                470.289400115609+1.6444065868857132i              142.9966906804583
19.959999999999994                                470.0722159389907+1.645586399537841i              142.8281784751653
19.969999999999995                                471.45407161579413+1.4020100820860129i            168.13505039647444
19.979999999999993                                471.2276084003697+1.3944330175766555i             168.96745934032117
19.989999999999995                                471.0025822089804+1.3876483741553365i             169.71251182262955
20                                                470.77776702822047+1.3808492445362206i            170.46675040414655
20.009999999999998                                470.55456782411846+1.3752858517814186i            171.07518673830805
20.02                                             470.33128257112753+1.36959666033185i              171.7043039726628
20.029999999999998                                470.1097776972186+1.3644790777935385i             172.267125728824
20.04                                             469.8869275288213+1.3611479346867164i             172.6068546829082
20.049999999999997                                470.4784029076045+1.6143814507951786i             145.71475740007602
20.06                                             470.25965334226106+1.6119569340115651i            145.8660722938666
20.07                                             471.5791093064407+1.4070593961965359i             167.57612030493533
20.08                                             471.3544959604406+1.3988412933078862i             168.48033376460208
20.09                                             471.1296474351794+1.392026502362105i              169.22438137338904
20.099999999999998                                470.90607830851224+1.3853246012429885i            169.9623604049151
20.11                                             470.6836489710957+1.3787885495124437i             170.68739406689124
20.119999999999997                                470.460859826692+1.3728493750993191i              171.3446749366282
20.13                                             470.2391126192039+1.3681632015637866i             171.8505190322795
20.139999999999997                                470.017520011198+1.3635165871849635i              172.3548963132046
20.15                                             469.79643169121374+1.3598500359497674i            172.73832381196775
20.16                                             470.4856495542212+1.633147948339817i              144.04256822919663
20.169999999999998                                470.26980721535847+1.6346827630606868i            143.8413060448659
20.18                                             471.637257395502+1.3941689251484473i              169.14638136310612
20.189999999999998                                471.41319530893674+1.3868172036059427i            169.9622683087534
20.2                                              471.19093588427626+1.3788455720136783i            170.8642887383483
20.209999999999997                                470.96797308595626+1.3719218825607455i            171.64533165943683
20.22                                             470.74634335237977+1.36617682383251i              172.28602298778716
20.229999999999993                                470.52487388084023+1.360690544871084i             172.89929574891667
20.239999999999995                                470.303507717289+1.3558876249124852i              173.43012026813227
20.249999999999996                                470.0830118172698+1.3514339282693726i             173.92008665168396
20.259999999999994                                469.8635688436151+1.3470612744699841i             174.40319076371935
20.269999999999996                                470.4566999269166+1.604997396110151i              146.55995737660038
20.279999999999994                                470.24083839344314+1.6023625045182213i            146.73360025196962
20.289999999999996                                471.537091331423+1.3920206309434453i              169.37144495187462
20.299999999999994                                471.31488892628494+1.384008533453272i             170.27167012846957
